state_abb,D0,D1,D2,D3,D4
AZ,12.99,60.48,26.53,0.0,0.0
DE,38.48,3.97,0.0,0.0,0.0
CO,1.15,27.43,71.42,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
NC,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
AR,53.97,0.0,0.0,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
CA,31.44,12.93,1.64,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
AL,18.47,58.16,11.83,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,0.0
AZ,0.0,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
CO,0.0,0.0,0.0,0.0,0.0
TX,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
SC,0.0,0.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
MD,0.0,0.0,0.0,0.0,0.0
AL,100.0,0.0,0.0,0.0,0.0
AK,17.46,6.24,3.79,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
CT,0.0,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,0.0
WV,0.0,0.0,0.0,0.0,0.0
AZ,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0,0.0
MN,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
CT,12.02,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0
AZ,0.0,0.0,0.0,0.0,0.0
DC,18.3,12.51,14.34,8.79,14.89
CT,9.74,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
NC,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
SC,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
AK,17.64,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0
WV,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
MS,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
TX,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
FL,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
DC,22.59,4.87,0.0,0.0,0.0
ND,0.0,0.0,0.0,0.0,0.0
WI,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
